Bedrooms,Bathrooms,Balconies,Pujaz_Rooms,Super_area,Carpet_area,Floor_Number,Total_Floors,Furnished_status,Facing,Address,Price
3,3,0,1,1511,1511,2,5,Unfurnished,East,Attapur,78
3,3,0,1,1511,1511,0,0,Semi-Furnished,North,Attapur,68
3,3,2,1,1600,1600,0,0,Unfurnished,West,Attapur,72
3,3,0,0,1634,1634,5,5,Furnished,North - East,Attapur,64
3,2,0,1,1782,1682,3,5,Unfurnished,East,Attapur,80
3,3,2,0,1892,1760,5,5,Unfurnished,North - East,Attapur,75
1,1,2,0,850,850,1,5,Unfurnished,West,Bachupally,28
2,2,0,0,1045,1045,2,5,Unfurnished,East,Bachupally,31.4
2,2,0,0,1060,900,4,5,Unfurnished,West,Bachupally,52
2,2,0,0,1060,960,4,5,Furnished,West,Bachupally,52
2,2,0,0,1075,1075,2,5,Unfurnished,East,Bachupally,37.1
2,2,0,0,1120,1000,1,6,Unfurnished,East,Bachupally,37.1
2,2,0,0,1160,825,1,5,Unfurnished,East,Bachupally,34
2,2,0,0,1195,950,1,5,Unfurnished,East,Bachupally,54
2,2,0,0,1230,1230,3,5,Furnished,East,Bachupally,44
2,2,0,0,1250,1250,2,5,Unfurnished,North,Bachupally,45.6
2,2,0,0,1345,1110,0,6,Unfurnished,East,Bachupally,43.9
2,2,0,1,1050,1000,3,5,Unfurnished,East,Bachupally,36.7
2,2,0,1,1050,1050,2,5,Unfurnished,North,Bachupally,36.7
2,2,0,1,1055,1055,4,5,Unfurnished,West,Bachupally,32
2,2,0,1,1100,1000,2,5,Unfurnished,East,Bachupally,43
2,2,0,1,1100,1000,4,5,Unfurnished,East,Bachupally,41
2,2,0,1,1115,1115,1,3,Unfurnished,East,Bachupally,40
2,2,0,1,1115,1115,1,6,Unfurnished,East,Bachupally,50
2,2,0,1,1120,1115,1,5,Unfurnished,East,Bachupally,33
2,2,0,1,1120,1115,3,5,Unfurnished,East,Bachupally,29
2,2,0,1,1120,950,1,4,Unfurnished,East,Bachupally,40.3
2,2,0,1,1125,940,2,5,Unfurnished,East,Bachupally,36
2,2,0,1,1130,1130,2,5,Unfurnished,East,Bachupally,47.5
2,2,0,1,1150,1000,2,5,Unfurnished,West,Bachupally,40
2,2,0,1,1150,1050,2,5,Unfurnished,North,Bachupally,44
2,2,0,1,1180,1180,3,4,Semi-Furnished,East,Bachupally,36.2
2,2,0,1,1180,944,2,5,Semi-Furnished,North - East,Bachupally,60
2,2,0,1,1190,1000,2,5,Unfurnished,West,Bachupally,45.2
2,2,0,1,1200,1000,2,3,Unfurnished,North - West,Bachupally,43
2,2,0,1,1200,1250,2,5,Unfurnished,East,Bachupally,46
2,2,0,1,1250,1000,4,5,Unfurnished,East,Bachupally,39
2,2,0,1,1300,1200,2,5,Unfurnished,East,Bachupally,43
2,2,0,1,1310,1220,1,6,Semi-Furnished,East,Bachupally,49
2,2,0,1,1370,1270,5,5,Unfurnished,East,Bachupally,40
2,2,2,0,1060,1000,2,4,Unfurnished,East,Bachupally,29
2,2,2,0,1065,900,2,5,Unfurnished,East,Bachupally,37
2,2,2,0,1065,980,2,5,Furnished,North - East,Bachupally,40
2,2,2,0,1075,1075,0,0,Unfurnished,West,Bachupally,37
2,2,2,0,1120,1120,1,5,Unfurnished,East,Bachupally,35
2,2,2,0,1130,1050,1,5,Furnished,West,Bachupally,42
2,2,2,1,1075,1075,1,5,Unfurnished,East,Bachupally,37
2,2,2,1,1100,1100,2,4,Semi-Furnished,East,Bachupally,38
2,2,2,1,1130,1130,2,5,Unfurnished,East,Bachupally,44.2
2,2,2,1,1130,1130,2,5,Unfurnished,North,Bachupally,44.2
2,2,2,1,1135,1035,2,5,Semi-Furnished,East,Bachupally,47
2,2,2,1,1200,960,2,5,Unfurnished,East,Bachupally,35
2,2,2,1,1292,969,3,5,Unfurnished,West,Bachupally,50
2,2,2,1,1300,1200,3,5,Unfurnished,West,Bachupally,42.1
2,2,2,1,843,843,2,4,Unfurnished,East,Bachupally,35
3,2,0,1,1115,1115,1,3,Unfurnished,East,Bachupally,35
3,2,2,1,1130,1370,3,5,Unfurnished,East,Bachupally,43.5
3,3,0,0,1375,1275,3,5,Unfurnished,East,Bachupally,64
3,2,2,0,1480,1380,4,5,Unfurnished,East,Bachupally,48
3,3,3,1,1530,1530,0,4,Unfurnished,West,Bachupally,47
3,2,2,0,1545,1445,1,6,Semi-Furnished,North - East,Bachupally,54
3,1,2,1,1599,1259,1,1,Unfurnished,North,Bachupally,59
3,3,2,0,1640,1560,1,6,Unfurnished,East,Bachupally,53.7
2,2,2,1,1027,1000,3,5,Unfurnished,East,Balaji Colony,38
2,2,2,1,1175,1075,1,5,Unfurnished,East,Balaji Colony,49.5
3,3,2,1,1750,1750,4,5,Unfurnished,East,Balakrishna Nagar,75
2,2,0,1,850,750,1,4,Furnished,North,Balkampet,35
2,2,0,0,1160,1160,3,5,Semi-Furnished,West,Bandam Kommu,47
2,2,2,1,1250,1250,5,5,Semi-Furnished,East,Bandam Kommu,54.9
