Bedrooms,Bathrooms,Balconies,Pujaz_Rooms,Super_area,Carpet_area,Furnished_status,Facing,Address,Price
2,2,0,1,1197,133,Unfurnished,None,Indresham,45
2,3,0,1,1323,1323,Semi-Furnished,West,Beeramguda,56.5
2,2,0,1,1320,1320,Furnished,East,Rampally,59
2,3,0,1,1320,1150,Unfurnished,West,Narapally,66
2,2,0,1,1319,1219,Unfurnished,North,RamachandraPuram,67.2
2,2,0,1,1319,1219,Unfurnished,North,RamachandraPuram,67.2
2,2,0,1,1319,1219,Unfurnished,North,Beeramguda,67.2
2,2,0,1,1319,1219,Unfurnished,North,Beeramguda,67.2
2,2,0,1,1319,1219,Unfurnished,North,Beeramguda,67.2
2,2,0,1,1319,1219,Unfurnished,North,Beeramguda,67.2
2,2,0,1,1319,1219,Unfurnished,North,Beeramguda,67.2
2,2,0,1,1319,1219,Unfurnished,North,Beeramguda,67.2
2,2,0,1,1319,1219,Unfurnished,North,Beeramguda,67.2
2,2,0,1,1319,1219,Unfurnished,North,Beeramguda,67.2
2,3,0,0,1300,1210,Unfurnished,East,Beeramguda,65
2,2,0,1,1300,1200,Semi-Furnished,East,Nagaram,65
2,2,0,1,1300,1000,Unfurnished,None,Gandhamguda,70
2,2,0,0,1300,1300,Semi-Furnished,None,Bongloor,65
2,2,0,1,1300,1200,Unfurnished,West,Boduppal,66
2,3,0,0,1300,1300,Unfurnished,None,Beeramguda,68
2,2,0,1,1300,1300,Semi-Furnished,East,Beeramguda,70
2,3,0,1,1300,1250,Semi-Furnished,North - East,Beeramguda,68.5
2,3,0,1,1300,1250,Semi-Furnished,West,Beeramguda,60
2,2,0,1,1300,1400,Unfurnished,None,Beeramguda,68
2,2,0,0,1170,110,Unfurnished,North - East,Yerrakunta,56
2,2,0,0,130,130,Unfurnished,South - East,Patancheru,35
2,3,0,1,1170,120,Unfurnished,West,Hayathnagar,58
2,2,0,1,1170,1170,Furnished,North,Gopanapalli,65
2,2,0,1,1285,1090,Unfurnished,None,ECIL,54
2,3,2,1,1285,1285,Semi-Furnished,West,Beeramguda,58
2,3,2,1,1285,1285,Semi-Furnished,West,Beeramguda,58
2,3,2,1,1285,1285,Unfurnished,North,Beeramguda,67
2,3,2,1,1280,1280,Semi-Furnished,East,Beeramguda,62
2,3,2,1,1280,1280,Unfurnished,East,Beeramguda,61
2,3,2,1,1280,1280,Semi-Furnished,East,Beeramguda,64
