Project_Name,Plot_Area,Transaction_Type,Address,Price
HPR Gardenia,180,New Property,Tukkuguda,30
HPR Gardenia,150,New Property,Medchal,20.5
Silverleaf,245,New Property,Shadnagar,24.2
Silverleaf,240,New Property,Adibatla,33.6
Silverleaf,150,New Property,Krishna Reddy Pet,27
JBs Serene City,200,New Property,Ibrahimpatnam Road,22
JBs Serene City,240,New Property,Maheshwaram,28.8
JBs Serene City,220,New Property,Ibrahimpatnam Road,25.3
Perams Aditya Pride,200,New Property,Maheshwaram,22
Cristal County VI,367,New Property,Nandigama,66.1
Suprabhat Heights,500,New Property,Bhuvangiri,60
Mahesh Plots and Villas,200,New Property,Shamshabad,25
Mahesh Plots and Villas,200,New Property,Kothur,28
Valencia Town,250,New Property,Kothur,20
Valencia Town,200,New Property,Medchal,29
Valencia Town,167,New Property,Shankarpalli-Rangareddi,31.7
Valencia Town,200,New Property,Isnapur,32
Valencia Town,148,New Property,ECIL,27.4
Premium County,200,New Property,Tukkuguda,32
Perams Aditya Pride,400,New Property,Maheshwaram,43.9
Cristal County VI,200,New Property,Nandigama,36
Global City II,300,New Property,Nandigama,48
Global City II,200,New Property,Gandi Maisamma,43.5
Suvarna Sampada,167,New Property,Kothur,50.1
Suvarna Sampada,200,New Property,Bhanoor,30
JBs Serene City,200,New Property,Ibrahimpatnam Road,22
JBs Serene City,209,New Property,New Mallepally,25.1
Cristal County VI,367,New Property,Nandigama,66.1
Akshita Golden Breeze,300,New Property,Maheshwaram,27
Royal Retreat,400,New Property,Sangareddy,52
Green Fields Avenue,300,New Property,Medchal,57
Green Fields Avenue,384,New Property,Shadnagar,25
Ramanjaneya Township,300,New Property,Yadagirigutta,25.5
Ramanjaneya Township,244,New Property,Shamshabad,26.9
Ramanjaneya Township,200,New Property,Adibatla,21
Ramanjaneya Township,350,New Property,Shadnagar,47
Royal Retreat,280,New Property,Sangareddy,36.4
Premium County,200,New Property,Tukkuguda,32
Premium County,200,New Property,Patighanpur,40
Premium County,200,New Property,Kongara Kalan,46
Premium County,167,New Property,Patancheru,28.4
Premium County,235,New Property,Mansanpally,21.2
Premium County,400,New Property,Adibatla,49
Fortune Paradise,200,New Property,Tukkuguda,33
Suvarna Green City,250,New Property,Shadnagar,20
Highway Paradise II,160,New Property,Isnapur,25.6
Highway Paradise II,216,New Property,Ghatkesar,23.8
Suprabhat Heights,200,New Property,Bhuvangiri,25
Meenakshi County,240,New Property,Shankarpalli Road,42
Meenakshi County,200,New Property,Shadnagar,24
Meenakshi County,200,New Property,Kollur,36
Meenakshi County,220,New Property,Yadagirigutta,25.3
Meenakshi County,167,New Property,Patancheru,26.7
Avanii Bhagya County,150,New Property,Nandigama,34.5
Avanii Bhagya County,200,New Property,Dammaiguda,40
Avanii Bhagya County,200,New Property,Nellutla,20
Luckie Township,201,New Property,Tukkuguda,20.1
Green County,165,New Property,Kothur,22
Green County,167,New Property,Keesara Daira,30.6
Green County,240,New Property,Maheshwaram,28.8
Akshita Golden Breeze,222,New Property,Maheshwaram,21.1
Akshita Golden Breeze,167,New Property,Adibatla,38.4
Cristal County VI,200,New Property,Nandigama,36
Premium County,150,New Property,Tukkuguda,24
Premium County,300,New Property,Bhuvangiri,22.5
Premium County,200,New Property,Indresham,30
Green Walk,605,New Property,Patancheru,24
Green Walk,150,New Property,Kompally,42
Meenakshi County,200,Resale,Shankarpalli Road,36
Green City Estates,222,New Property,Adibatla,36.6
Palm Meadows II,260,New Property,Ghatkesar,31.2
Palm Meadows II,200,New Property,Bhanoor,38
Fortune Avenue,150,New Property,Adibatla,29.4
Meenakshi County,200,New Property,Shankarpalli Road,31
Spring City,200,New Property,Aminpur,36
Spring City,201,New Property,Maheshwaram,24.1
Sai Suryas Gallant,260,New Property,Mokila,67.6
Sai Suryas Gallant,150,New Property,Kapra,47
Sai Suryas Gallant,400,Resale,Koheda,64
Urban Meadows,200,New Property,Shameerpet,26
Urban Meadows,250,New Property,Abdullapurmet,22.5
Urban Meadows,241,Resale,Bahadurpally,62.7
Avanii Bhagya County,200,Resale,Nandigama,48
Avanii Bhagya County,240,New Property,Medchal,38.4
Gachibowli Paradise County,400,New Property,Patancheru,24
Gachibowli Paradise County,200,New Property,Ibrahimpatnam Road,22
Premium County,200,New Property,Tukkuguda,32
Premium County,165,New Property,Sadashivpet,20.6
Premium County,240,New Property,LB Nagar,31.2
Premium County,167,New Property,Isnapur,28.4
Premium County,150,New Property,Beeramguda,25.5
Premium County,120,New Property,ECIL,22.2
Premium County,215,New Property,Warangal Highway,28
Premium County,200,New Property,Shankarpalli Road,50
Premium County,267,New Property,Kandla Koya,42.7
Premium County,240,Resale,Gandi Maisamma,69.6
Medcity enclave,180,New Property,Medchal,25.2
Medcity enclave,200,New Property,Rudraram,36
Medcity enclave,200,New Property,Ghatkesar,37
Medcity enclave,165,Resale,Shankarpalli Road,29
Medcity enclave,167,New Property,Pedda Amberpet,41.8
PMC Suncrest,250,Resale,Ghatkesar,27.5
PMC Suncrest,166,New Property,Tukkuguda,22
PMC Suncrest,267,Resale,Kompally,69
PMC Suncrest,219,Resale,Annojiguda,40.5
Kongaras Silicon City,200,New Property,Adibatla,34
Kongaras Silicon City,160,New Property,Ghatkesar,20
Kongaras Silicon City,183,New Property,Gandi Maisamma,30.2
Kongaras Silicon City,200,New Property,Shankarpalli Road,36
Kongaras Silicon City,177,New Property,Patancheru,25.7
Kongaras Silicon City,200,New Property,Patancheru,25.1
Kongaras Silicon City,260,New Property,Maheshwaram,29.9
Tanvi Hills,200,New Property,Miyapur,70
Tanvi Hills,135,New Property,Koheda,33
Tanvi Hills,200,New Property,Shankarpalli Road,26
Tanvi Hills,200,New Property,Koheda,50
Tanvi Hills,410,Resale,Shameerpet,45
Pragati Green Meadows,534,New Property,Shankarpalli Road,48.1
Pragati Green Meadows,200,New Property,Isnapur,30
Suprabhat Heights,267,New Property,Bhuvangiri,32
Suprabhat Heights,200,New Property,Adibatla,22
Suprabhat Heights,222,New Property,Shankarpalli Road,21.1
Highway County Bhongir,167,New Property,Bhuvangiri,21.7
Highway County Bhongir,240,New Property,Shadnagar,24
Subhagruha,200,New Property,Banjara Hills,48
Subhagruha,300,Resale,Beeramguda,62.5
Subhagruha,300,Resale,Shankarpalli Road,64
DLF Gardencity,300,Resale,Nandigama,30
Akshita Golden Breeze,244,Resale,Maheshwaram,28.1
Akshita Golden Breeze,200,New Property,timmapur,24
Akshita Golden Breeze,150,New Property,Nandigama,30
Akshita Golden Breeze,165,New Property,Kothur,21.4
Akshita Golden Breeze,200,New Property,Aadibatla,22
Akshita Golden Breeze,200,Resale,Malkapur,21
Akshita Golden Breeze,166,New Property,Kompally,38.2
Akshita Golden Breeze,150,Resale,Isnapur,50
Fortune Butterfly City,512,Resale,Srisailam Highway,45
Fortune Butterfly City,200,New Property,Shadnagar,22
Jasmine County,200,New Property,Kothur,22
Siri County,157,Resale,Beeramguda,69
Siri County,320,New Property,Choutuppal,21
Serene City,267,New Property,Ibrahimpatnam,36
Sterling Aster,200,New Property,Bhanoor,40
Green Acres,200,New Property,Isnapur,54
Sterling Aster,200,Resale,Bhanoor,40
Prestige County,172,Resale,Kollur,34
Prestige County,272,Resale,Patancheru,48
Prestige County,167,New Property,Rudraram,28.4
Prestige County,200,New Property,Bhanur ,44
JBs Serene City,300,New Property,Ibrahimpatnam Road,39
JBs Serene City,200,New Property,Vijayawada Highway,21
L R Palm Meadows,167,Resale,Rampally,30
Subhagruha,200,New Property,Banjara Hills,50
Subhagruha,200,New Property,Ghatkesar,40
Subhagruha,200,New Property,Shadnagar,22
Subhagruha,161,Resale,Keesara Daira,24
Subhagruha,166,Resale,Ruby Block,41.5
Subhagruha,150,New Property,Ghatkesar,22.5
Subhagruha,150,Resale,Isnapur,35
Subhagruha,184,New Property,Sangareddy,25.7
Subhagruha,111,Resale,Srinivasa Colony,38.9
JBs Serene City,267,Resale,Ibrahimpatnam Road,37
DLF Gardencity,267,Resale,Nandigama,28
DLF Gardencity,300,Resale,kandi,25
DLF Gardencity,200,Resale,bhongiri,25
DLF Gardencity,200,Resale,Pocharam,52
HPR Gardenia,267,Resale,Mansanpally,27
Neo Jubilee Hills,267,Resale,Ghatkesar,40
Neo Jubilee Hills,120,New Property,Thumukunta,24
Neo Jubilee Hills,400,Resale,Koheda,28
Neo Jubilee Hills,165,Resale,Muthangi,23
Neo Jubilee Hills,250,New Property,Tukkuguda,40
Neo Jubilee Hills,400,Resale,Mansanpally,34
Neo Jubilee Hills,199,New Property,Sadashivpet,20.1
Neo Jubilee Hills,200,New Property,Pedda Amberpet,49
Neo Jubilee Hills,183,New Property,Shankarpalli Road,22
Neo Jubilee Hills,180,New Property,Shamshabad,30.6
Neo Jubilee Hills,200,Resale,Adibatla,37
Neo Jubilee Hills,400,New Property,Shadnagar,26
Neo Jubilee Hills,250,New Property,Shadnagar,20
Neo Jubilee Hills,167,New Property,Shankarpalli Road,28
Neo Jubilee Hills,225,Resale,Kapra,67
Neo Jubilee Hills,340,New Property,Sadashivpet,22.1
Neo Jubilee Hills,150,New Property,Ghatkesar,27.8
Neo Jubilee Hills,300,Resale,Tukkuguda,30
Neo Jubilee Hills,167,New Property,Shankarpalli Road,30.9
Neo Jubilee Hills,300,Resale,Yadagirigutta,24
Neo Jubilee Hills,200,New Property,Adibatla,21
Neo Jubilee Hills,300,Resale,Rampally,69
Neo Jubilee Hills,404,Resale,Kompally,69
Neo Jubilee Hills,167,New Property,Muthangi,36.7
Neo Jubilee Hills,166,Resale,Moinabad,24.1
Neo Jubilee Hills,180,New Property,Kothur,22.5
Neo Jubilee Hills,200,Resale,Mansanpally,20
Green City Estates,222,Resale,Adibatla,36.6
Green City Estates,267,Resale,Shadnagar,29.4
Green City Estates,167,Resale,Tukkuguda,24.2
Kalpavruksha,350,New Property,Moinabad,26.3
Kalpavruksha,171,Resale,Srisailam Highway,29.1
Kalpavruksha,240,Resale,Shadnagar,24
Kalpavruksha,386,New Property,Shamirpet,45
Kalpavruksha,380,Resale,Jadcherla,20.9
Kalpavruksha,200,New Property,Boduppal,70
Aero Avenue,171,New Property,Tukkuguda,25.7
Aero Avenue,200,Resale,Adibatla,20
Aero Avenue,200,Resale,Shankarpalli Road,32
Aero Avenue,200,Resale,Tellapur,68
Aero Avenue,200,New Property,Shankarpalli-Rangareddi,36
Aero Avenue,183,New Property,Adibatla,27.5
Aero Avenue,300,Resale,Kapra,24
Aero Avenue,300,Resale,Tukkuguda,27
Aero Avenue,240,Resale,Gandi Maisamma,69.6
Aero Avenue,400,Resale,Isnapur,68
Aero Avenue,250,Resale,Bandaravirala,32.5
Aero Avenue,200,New Property,Shadnagar,22
Aero Avenue,200,Resale,Patancheru,30
Aero Avenue,200,Resale,Medchal,20
Aero Avenue,176,Resale,Sangareddy,22.9
Aero Avenue,350,Resale,Warangal Highway,29.8
Aero Avenue,167,Resale,Kollur,36.7
Aero Avenue,500,Resale,Yadagirigutta,27.5
Aero Avenue,200,Resale,Warangal Highway,24
Aero Avenue,200,Resale,Warangal Highway,25
Aero Avenue,400,Resale,Shameerpet,48
Aero Avenue,450,Resale,Keesara,67.5
Aero Avenue,400,Resale,Shadnagar,30
Aero Avenue,200,Resale,Bhuvangiri,20
Aero Avenue,167,Resale,Maheshwaram,22.5
Aero Avenue,167,Resale,Tukkuguda,22.5
Aero Avenue,266,Resale,Yadagirigutta,22.6
Aero Avenue,165,Resale,Nandigama,38
Aero Avenue,200,Resale,Shamshabad,26
Aero Avenue,200,Resale,Tukkuguda,33
Aero Avenue,232,Resale,Nandigama,27.8
Aero Avenue,220,Resale,Nandigama,39.6
Aero Avenue,224,Resale,Nandigama,28
Aero Avenue,200,Resale,Secunderabad,64
Aero Avenue,200,Resale,Adibatla,35
Aero Avenue,300,Resale,Shadnagar,22.5
Aero Avenue,200,Resale,Medchal,27.4
Aero Avenue,247,New Property,Kollur,44.5
Aero Avenue,267,Resale,Srisailam Highway,66.8
Aero Avenue,150,Resale,Patancheru,40.5
Aero Avenue,350,Resale,Sadashivpet,21
Aero Avenue,200,Resale,Tukkuguda,34
Aero Avenue,150,Resale,Gagilapur,40.5
Aero Avenue,267,Resale,Bhuvangiri,32
Aero Avenue,150,Resale,Medchal,45
Aero Avenue,200,Resale,Shadnagar,22
Aero Avenue,250,Resale,Mansanpally,24.5
Aero Avenue,200,Resale,Shadnagar,22
Aero Avenue,200,Resale,Shamshabad,24
Aero Avenue,160,Resale,Adibatla,31.4
Aero Avenue,200,Resale,Shadnagar,22
Aero Avenue,240,Resale,Dundigal,69.6
Aero Avenue,200,Resale,Gandi Maisamma,54
Aero Avenue,166,Resale,Maheshwaram,31.5
Aero Avenue,400,Resale,Yadagirigutta,24
Aero Avenue,270,Resale,Srisailam Highway,44.6
Aero Avenue,160,New Property,Bandlaguda-Nagole,30.4
Aero Avenue,250,Resale,Medchal,25
Aero Avenue,267,Resale,Bhanoor,53.4
Aero Avenue,184,Resale,Gandi Maisamma,46
Aero Avenue,400,Resale,Kothur,48
Aero Avenue,185,Resale,Sangareddy,25
Aero Avenue,350,Resale,Kothur,42
Aero Avenue,150,Resale,Shamshabad,25
Aero Avenue,200,New Property,New Bowenpally,60
Aero Avenue,200,Resale,Nandigama,38
Doyen County,220,New Property,Isnapur,26.4
Doyen County,168,New Property,Adibatla,31.9
Doyen County,130,New Property,Patancheruvu,31.6
Doyen County,400,Resale,Medchal,45
Doyen County,200,New Property,Sultanpur,36
Doyen County,600,New Property,Ghatkesar,66
Doyen County,150,New Property,Beeramguda,35
Doyen County,150,Resale,Gurram Guda,50
Doyen County,150,New Property,Sun City,67
Doyen County,138,Resale,Gayatri Nagar-Peerzadiguda,55.2
Doyen County,216,Resale,Secunderabad,25.9
Doyen County,240,New Property,Srisailam Highway,22.8
Doyen County,478,Resale,Ankushapur,26.3
Doyen County,350,New Property,Nagarjuna Sagar Road,26.3
